Source Page URL,Name,industry,specialties,companySize,Type,Founded,Hqaddress,Hqcity,Hqstate,Hqzip,Hqcountry,Blurb,website
https://www.linkedin.com/company/central-intelligence-agency,Central Intelligence Agency,International Affairs,,"10,001+ employees",Government Agency,,,,,,,,http://www.linkedin.com/redirect?url=http%3A%2F%2Fwww%2Ecia%2Egov&urlhash=pP65&trk=Central+Intelligence+Agency_website
https://www.linkedin.com/company/chopper-trading-llc,"Chopper Trading, LLC",Capital Markets,,201-500 employees,Privately Held,2002,,,,,,"Chopper Trading LLC is a privately owned proprietary trading firm headquartered in Chicagoês historic Board of Trade Building with growing offices in New York, London, San Francisco and Washington DC. Our 200+ employees form a strategic blend of Traders, Software Engineers, and Quantitative Analysts that has consistently produced results since our founding in 2002. One key to this success has been the pledge to hire extremely bright, motivated, and passionate employees who are tasked with developing our proprietary trading applications and implementing these applications in the financial markets. Just as important as our employees is the technology they use to reach the market quickly and effectively. Our commitment to this technology has propelled Chopper Trading through the global financial crisis to the top of the proprietary trading community. All of this is a credit to the vision of our executive leadership whose combined experience in trading and technology is unmatched. We participate in one of the most intense and challenging private sector domains in the world and have effectively positioned ourselves for further success over the coming years. In order to continue to excel we need bright, strategic thinkers who will thrive in a high-performance environment. Chopper Trading rewards intelligence, hard work, and commitment while giving each employee the freedom, opportunity, and support to pursue and achieve success.",http://www.linkedin.com/redirect?url=http%3A%2F%2Fwww%2Echoppertrading%2Ecom%2Findex%2Easpx&urlhash=-j_T&trk=Chopper+Trading%2C+LLC_website
https://www.linkedin.com/company/clarity-solution-group,Clarity Solution Group,Information Technology and Services,"Business Intelligence, Data Warehousing, Advanced Analytics, Data Integration, BI Strategy, Requirements Analysis, and Planning, Master Data Management, Data Management, Data Science, E-commerce, Big Data",201-500 employees,Privately Held,2004,150 South Wacker,"Chicago,",IL,60606,United States,"Clarity is the largest independent US consultancy focused exclusively on data management and analytics. They deliver enterprise-class, full lifecycle solutions on a national scale. Headquartered in Chicago, they have been an Inc. 5000 Fastest Growing Company for 5 years in a row, a Fast Fifty Company four times, and a Best Place to Work in Illinois three years running. Clarity helps companies decrease decision-making costs and increase decision-making ability through analytics, data integration and business intelligence. They provide the specialization of a boutique, the technical leadership of an emergent analytics firm, and the enablement scale of a large system integration provider. Itês a combination they believe gives them competitive marketplace advantage",http://www.linkedin.com/redirect?url=http%3A%2F%2Fwww%2Eclarity-us%2Ecom&urlhash=3dWu&trk=Clarity+Solution+Group_website
https://www.linkedin.com/company/cme-group,CME Group,Financial Services,"futures, commodities, derivatives, risk management, finance, financial services, economics",1001-5000 employees,Public Company,1848,20 S. Wacker Dr,"Chicago,",IL,60606,United States,"As the world's leading and most diverse derivatives marketplace, CME Group (www.cmegroup.com) is where the world comes to manage risk. CME Group exchanges offer the widest range of global benchmark products across all major asset classes, including futures and options based on interest rates, equity indexes, foreign exchange, energy, agricultural commodities, metals, weather and real estate. CME Group brings buyers and sellers together through its CME GlobexÂ electronic trading platform and its trading facilities in New York and Chicago. CME Group also operates CME Clearing, one of the worldês leading central counterparty clearing provider in the world, which offers clearing and settlement services for exchange-traded contracts, as well as for over-the-counter derivatives transactions through CME ClearPortÂ. These products and services ensure that businesses everywhere can substantially mitigate counterparty credit risk in both listed and over-the-counter derivatives markets.",http://www.linkedin.com/redirect?url=http%3A%2F%2Fwww%2Ecmegroup%2Ecom&urlhash=L_n6&trk=CME+Group_website
https://www.linkedin.com/company/discover-financial-services,Discover Financial Services,Financial Services,"Financial Services, Credit Cards, Deposit Products, Consumer Lending, Consumer Savings, Payments, Payment Technology, Student Loans, Personal Loans, Home Loans, Home Equity Loans, Debit and Transaction Services","10,001+ employees",Public Company,1985,2500 Lake Cook Road,"Riverwoods,",IL,60015,United States,"We are Discover Financial Services (NYSE:DFS), a direct banking and payment services company with one of the most recognized brands in U.S. financial services. As one of the largest card issuers in the United States, we operate the Discover card, Americaês first cash rewards credit card. Beyond our flagship credit business, Discover Bank subsidiary offers personal and student loans, home and home equity loans, online savings products, certificates of deposit and money market accounts. Payment businesses consist of Discover Network, with millions of merchant and cash access locations; PULSE, one of the nationês leading ATM/debit networks; and Diners Club International, a global payments network with acceptance in more than 185 countries and territories. We value our commitment to our cardmembers and customers, and to rewarding relationships that proveãIt pays to DiscoverÂ.",http://www.linkedin.com/redirect?url=http%3A%2F%2Fwww%2Ediscover%2Ecom&urlhash=jorK&trk=Discover+Financial+Services_website
https://www.linkedin.com/company/elanco,Elanco,Pharmaceuticals,"Food Safety, Food Production, Animal Health, Pets",1001-5000 employees,Public Company,1954,,,,,,"Elanco is a global animal health company. Our vision: Food and companionship enriching life. Elanco fulfills this vision through three primary pursuits: - Helping deliver a safe, more affordable, more abundant food supply by improving the health and performance of animals - Helping pets live longer, healthier, higher-quality lives - Improving food safety Elanco employees are empowered to preserve Elancoês common culture of humility, discipline and involvement. We have a responsibility to connect and contribute to our cause, to be passionate about delivering solutions and value to our customers, and to embrace opportunities for personal and professional growth and development. Through innovative products, quality systems and a shared vision, Elanco strives daily to enhance animal healthãand enrich the lives of people worldwide.",http://www.linkedin.com/redirect?url=http%3A%2F%2Fwww%2Eelanco%2Ecom&urlhash=LHv9&trk=Elanco_website
https://www.linkedin.com/company/enova-international,Enova International,Financial Services,Financial services and credit products and services,501-1000 employees,Public Company,2004,,,,,,"Enova is a web-based consumer lending company located in downtown Chicago. What began as a dynamic management team, with roots in Silicon Valley and Wall Street, has grown at a tremendous pace since its inception. Today, we are proud to have over 800 Enova team members serving millions of customers in the United States, United Kingdom, Australia, and Canada. At Enova, we believe everyone should have access to simple and trustworthy financial services, regardless of their credit history. Thatês why weêre dedicated to providing convenient and licensed financial services that allow our customers to face their financial needs responsibly. What Sets Us Apart? Enova and its businesses were built on the premise of providing convenient and reliable services by using the most innovative technology available. Supported by a proprietary credit model, extensive marketing relationships and state-of-the-art technology, Enova has the unique tools to meet individualized customer needs. Learn more: http://www.youtube.com/user/EnovaFinancial",http://www.linkedin.com/redirect?url=http%3A%2F%2Fwww%2Eenova%2Ecom&urlhash=sijx&trk=Enova+International_website
https://www.linkedin.com/company/epic_163658,Epic,Computer Software,"healthcare, emr, ehr, phr","5001-10,000 employees",Privately Held,1979,1979 Milky Way,"Verona,",WI,53593,United States,"As a worldwide leader in the development of software for healthcare organizations, Epic is driving change for an entire industry _ and not just any industry _ one that impacts the quality of life for everyone. Our software is currently used to help care for 150 million people in the US alone. We work with some of the nationês most respected healthcare organizations and leading research institutions to develop, implement and support software to reduce medical errors, improve screening for diseases, and increase the quality of patient care. Founded in 1979, Epic is private and employee-owned. We've grown to a company of over 6,000 intelligent, motivated, and principled people who are dedicated to making a positive impact on the healthcare industry.",http://www.linkedin.com/redirect?url=http%3A%2F%2Fwww%2Eepic%2Ecom&urlhash=5jqD&trk=Epic_website
https://www.linkedin.com/company/ford-motor-company,Ford Motor Company,Automotive,"Automotive, Financial Services","10,001+ employees",Public Company,1903,,,,,,"Ford Motor Company, a global automotive industry leader based in Dearborn, Mich., manufactures or distributes automobiles across six continents. With about 172,000 employees and 65 plants worldwide, the companyês automotive brands include Ford and Lincoln. The company provides financial services through Ford Motor Credit Company. For more information regarding Ford and its products worldwide, please visit http://corporate.ford.com.",http://www.linkedin.com/redirect?url=http%3A%2F%2Fcorporate%2Eford%2Ecom&urlhash=kO5F&trk=Ford+Motor+Company_website
https://www.linkedin.com/company/fresenius-kabi-usa,Fresenius Kabi USA,Hospital & Health Care,,1001-5000 employees,Public Company,1912,,,,,,"About Fresenius Kabi USA Caring for life Fresenius Kabi is a global health care company that specializes in lifesaving medicines and medical technologies for infusion, transfusion and clinical nutrition. Our expansive portfolio of products and global network of science and manufacturing centers provide essential support for the care of critical and chronically ill patients. We are part of Fresenius SE, a health care group with more than 100 years of experience in pharmaceuticals, medical devices and life sciences. Our employees _ more than 30,000 worldwide _ develop and deliver injectable pharmaceuticals and infusion systems; blood collection, transfusion and cell technologies; and essential nutrients for parenteral nutrition. We have special expertise in medicines for oncology, infection, anesthesia, analgesia and critical care. Our products are used in all sites of care _ from hospitals and clinics to blood and plasma centers, and increasingly in patientsê homes. Whether you work for us, buy from us, partner with us, or invest in us, you will come to know that caring is at the core of everything we do. Our purpose is to put lifesaving medicines and technologies in the hands of people who care for patients, and to find answers to the challenges they face every day.",http://www.linkedin.com/redirect?url=http%3A%2F%2Fwww%2Efresenius-kabi%2Eus&urlhash=Bszg&trk=Fresenius+Kabi+USA_website
https://www.linkedin.com/company/gaf,GAF,Building Materials,Building Materials Manufacturer,1001-5000 employees,Privately Held,,,,,,,"GAF, founded in 1886, is a $3 billion company with 3,200 employees and is a leader in the building materials industry. As America's largest roofing manufacturer, GAF has built a strong and solid product and customer franchise driven by continuous product innovation and through finding ways to better serve and connect with its customers. GAF has sustained a strong financial and operating performance over the past several years, driven from its leading capabilities, strong culture, and a business that is only partly dependent on economic cycles in the construction industry. Labeled the best in quality and most-recommended by our customers, GAF believes that employees remain our greatest strength and best competitive advantage. Build your future as we build the American dream - one roof at a time.",http://www.linkedin.com/redirect?url=http%3A%2F%2Fwww%2Egaf%2Ecom&urlhash=TiFJ&trk=GAF_website
https://www.linkedin.com/company/ge,GE,Electrical/Electronic Manufacturing,"Oil & Gas, Healthcare, Intelligent Platforms, Capital, Transportation, Aviation, Appliances, Lighting, Power & Water, Energy Management","10,001+ employees",Public Company,1892,3135 Easton Turnpike,"Fairfield,",CT,6828,United States,"About GE (NYSE: GE) GE works on things that matter. The best people and the best technologies taking on the toughest challenges. Finding solutions in energy, health and home, transportation and finance. Building, powering, moving and helping to cure the world. Not just imagining. Doing. GE works.",http://www.linkedin.com/redirect?url=http%3A%2F%2Fwww%2Ege%2Ecom&urlhash=_ait&trk=GE_website
https://www.linkedin.com/company/google,Google,Internet,"search, ads, mobile, android, online video","10,001+ employees",Public Company,1998,1600 Amphitheatre Parkway,"Mountain View,",CA,94043,United States,"Googleês mission is to organize the world•s information and make it universally accessible and useful. Since our founding in 1998, Google has grown by leaps and bounds. From offering search in a single language we now offer dozens of products and servicesãincluding various forms of advertising and web applications for all kinds of tasksãin scores of languages. And starting from two computer science students in a university dorm room, we now have thousands of employees and offices around the world. A lot has changed since the first Google search engine appeared. But some things havenêt changed: our dedication to our users and our belief in the possibilities of the Internet itself.",http://www.linkedin.com/redirect?url=http%3A%2F%2Fwww%2Egoogle%2Ecom&urlhash=jHK4&trk=Google_website
https://www.linkedin.com/company/groupon,Groupon,Internet,"technology, local commerce, social media, marketing, community, customers, customer worship","10,001+ employees",Public Company,2008,600 W Chicago,"Chicago,",IL,60654,United States,"Groupon (NASDAQ: GRPN) is a global leader of local commerce and the place you start when you want to buy just about anything, anytime, anywhere. By leveraging the companyês global relationships and scale, Groupon offers consumers a vast marketplace of unbeatable deals all over the world. Shoppers discover the best a city has to offer on the web or on mobile with Groupon Local, enjoy vacations with Groupon Getaways, and find a curated selection of electronics, fashion, home furnishings and more with Groupon Goods. Groupon is redefining how traditional small businesses attract, retain and interact with customers by providing merchants with a suite of products and services, including customizable deal campaigns, credit card payment processing capabilities, and point-of-sale solutions that help businesses grow and operate more effectively.To search for great deals or subscribe to Groupon emails, visit www.Groupon.com. To download Groupon's five-star mobile apps, visit www.groupon.com/mobile. To learn more about the companyês merchant solutions and how to work with Groupon, visit www.GrouponWorks.com. To learn more about the origins of Groupon and our company philosophy, check out www.groupon.com/about.",http://www.linkedin.com/redirect?url=http%3A%2F%2Fwww%2Egroupon%2Ecom&urlhash=CVlR&trk=Groupon_website
https://www.linkedin.com/company/harley-davidson-motor-company,Harley-Davidson Motor Company,Automotive,Motorcycle Manufacturing,"5001-10,000 employees",Public Company,1903,3700 W Juneau Ave,"Milwaukee,",WI,53208,United States,"Harley-Davidson Motor Company is an American manufacturer of motorcycles based in Milwaukee, Wisconsin. The company sells heavyweight (over 750 cc) motorcycles designed for cruising on the highway. Harley-Davidson motorcycles (popularly known as ""Harleys"") have a distinctive design and exhaust note. They are especially noted for the tradition of heavy customization that gave rise to the chopper-style of motorcycle.",http://www.linkedin.com/redirect?url=http%3A%2F%2Fwww%2Eharley-davidson%2Ecom&urlhash=_G59&trk=Harley-Davidson+Motor+Company_website
https://www.linkedin.com/company/heremaps,"HERE, a Nokia company",Information Technology and Services,"Maps, Location, Cartography, Mapping apps, Mapping platform","5001-10,000 employees",Public Company,,,,,,,"HERE, a Nokia company, offers the world's freshest maps and location experiences across multiple screens and operating systems. HERE inspires a new generation of location services and devices helping more people to navigate their lives with ease and confidence. Built on more than 25 years of experience in cartography and drawing on more than 80,000 sources of data, HERE offers ""Maps for Life"" for more than 190 countries, voice guided navigation in 95 countries in more than 50 languages and live traffic information for 41 countries. To learn more about HERE, visit our official blog at http://360.here.com",http://www.linkedin.com/redirect?url=http%3A%2F%2Fhere%2Ecom&urlhash=BaE-&trk=HERE%2C+a+Nokia+company_website
https://www.linkedin.com/company/hill-international,"Hill International, Inc.",Construction,"Project Management, Construction Claims and Construction Consulting, Program Management, Construction Management",1001-5000 employees,Public Company,1976,303 Lippintcott Centre,"Marlton,",NJ,8053,United States,"For nearly four decades, public- and private-sector clients worldwide have selected Hill International (NYSE:HIL) as construction consultants on their most complex projects. With thousands of construction professionals around the world, Hill has the experience and the expertise to help our clients deliver their projects on time, within budget, and with the highest quality possible. Hill employees are encouraged to join Hill's linkedin group: http://www.linkedin.com/groupRegistration?gid=661617",http://www.linkedin.com/redirect?url=http%3A%2F%2Fwww%2Ehillintl%2Ecom&urlhash=sYZl&trk=Hill+International%2C+Inc%2E_website
,,,,,,,,,,,,,
https://www.linkedin.com/company/illinois-department-of-transportation,Illinois Department of Transportation,Transportation/Trucking/Railroad,,"5001-10,000 employees",Government Agency,1972,2300 S. Dirksen Parkway,"Springfield,",IL,62764,United States,"We provide safe, cost effective transportation for Illinois in ways that enhance the quality of life, promote economic prosperity, and demonstrate respect for the environment. http://www.dot.il.gov Facebook: http://www.facebook.com/IllinoisDepartmentofTransportation Twitter: http://twitter.com/IDOT_Illinois YouTube: http://www.youtube.com/user/IllinoisDOT",http://www.linkedin.com/redirect?url=http%3A%2F%2Fwww%2Edot%2Eil%2Egov&urlhash=XdKv&trk=Illinois+Department+of+Transportation_website
https://www.linkedin.com/company/institute-for-defense-analyses,Institute for Defense Analyses,Defense & Space,Technical and policy studies,1001-5000 employees,Nonprofit,1956,4850 Mark Center Dr,"Alexandria,",VA,22311,United States,"IDA (Institute for Defense Analyses) _ a not-for-profit corporation headquartered in Alexandria, Virginia just outside Washington, DC _ operates three Federally Funded Research and Development Centers (FFRDCs) in the public interest: the Systems and Analyses Center, the Science and Technology Policy Institute, and the Center for Communications and Computing. Sponsors rely on IDA for dispassionate, fact-based, and scientifically rigorous research and advice to inform their decisions. Since 1956, IDAês basic mission has remained unchanged _ bring the best scientific, technical, and analytic talent to bear on issues critical to U.S. National security, in a research environment free of commercial or shareholder interests where objectivity and the public interest are foremost. The work produced by IDAês FFRDCs is characterized by unquestioned objectivity and high quality. Because of our unique relationship with our Government sponsors, IDA enjoys unusual access to highly classified and sensitive government and corporate proprietary information. We adhere to a strict regime for avoiding conflicts of interest. We are thus in the position of offering outsider perspectives on important issues with insider access to information. Our diverse mix of professionals possesses expertise in a broad range of technologies and systems combined with deep knowledge of costs, policies, operations, and organizational matters. IDA continually renews and evolves its staff, integrating those newly educated in the latest advances in research with seasoned veterans of acquisition management, policy-making, and operational leadership roles in government and defense-related organizations. The exceptional creativity, determination, and commitment to service that IDA researchers bring to their work are the foundation of IDAês excellence.",http://www.linkedin.com/redirect?url=http%3A%2F%2Fwww%2Eida%2Eorg&urlhash=6Bg0&trk=Institute+for+Defense+Analyses_website
https://www.linkedin.com/company/itw,ITW,Machinery,Manufacturing,"10,001+ employees",Public Company,1912,3600 West Lake Ave,"Glenview,",IL,60026,United States,"Founded in 1912, ITWês recipe for success has been consistent: value added products and outstanding service win the day with customers. We place a high premium on the development of highly engineered products and systems_most of which are developed in tandem with our customers. And we continue to ensure that our customers receive timely, cost-effective service for the innovative products we provide. ITWês business model is comprised of a set of unique core capabilities: our proprietary 80/20 business process, sustainable differentiation through innovation, and our well-known decentralized entrepreneurial culture. While we own many global businesses, these capabilities are unmistakably ITWãand key to our longevity and strong performance ITWês products and solutions are at work all over the world, in deep-sea oil rigs, aerospace technology, bridges and wind turbines, healthcare, the spaces in which we live and work, the cars we drive, and the mobile devices we rely on. We are never, whether we know it or not, more than a few steps from an innovative ITW solution. Today, ITW (NYSE: ITW) is a Fortune 200 company that employs nearly 65,000 people, and is headquartered in Glenview, Illinois, USA with operations in 58 countries.",http://www.linkedin.com/redirect?url=http%3A%2F%2Fwww%2Eitw%2Ecom&urlhash=sMnN&trk=ITW_website
https://www.linkedin.com/company/johnson-controls,Johnson Controls,Mechanical or Industrial Engineering,"automotive interiors, lead-acid batteries, advanced energy storage systems, building and facility management, energy efficiency, operations, HVAC, sustainability","10,001+ employees",Public Company,1885,5757 North Green Bay Avenue,"Milwaukee,",WI,53209,United States,"Johnson Controls is a global diversified technology and industrial leader serving customers in more than 150 countries. Our 170,000 employees create quality products, services and solutions to optimize energy and operational efficiencies of buildings; lead-acid automotive batteries and advanced batteries for hybrid and electric vehicles; and interior systems for automobiles. Our commitment to sustainability dates back to our roots in 1885, with the invention of the first electric room thermostat. Through our growth strategies and by increasing market share we are committed to delivering value to shareholders and making our customers successful. In 2013, Corporate Responsibility Magazine recognized Johnson Controls as the #14 company in its annual ""100 Best Corporate Citizens"" list.",http://www.linkedin.com/redirect?url=http%3A%2F%2Fwww%2Ejohnsoncontrols%2Ecom&urlhash=4Ncb&trk=Johnson+Controls_website
https://www.linkedin.com/company/keurig-incorporated,"Keurig Green Mountain, Inc.",Consumer Goods,"single-cup brewing systems, K-Cup portion packs, Vue Brewing System, Coffee, Tea, Coffee brewers, Office coffee brewing systems, Rivo Brewing System, K-Cup, beverages","5001-10,000 employees",Public Company,1981,,,,,,"As a leader in specialty coffee, coffee makers, teas and other beverages, Keurig Green Mountain (–Keurig”) (NASDAQ: GMCR) , is recognized for its award-winning beverages, innovative brewing technology, and socially responsible business practices. The Company has inspired consumer passion for its products by revolutionizing beverage preparation at home and in the workplace. Keurig Green Mountain supports local and global communities by investing in sustainably-grown coffee, and by its active involvement in a variety of social and environmental projects. By helping consumers drink for themselves, we believe we can brew a better world. Keurig Green Mountain, Inc. was founded as Green Mountain Coffee Roasters, Inc. in 1981 as a small caf_ in Waitsfield, Vermont. In 1993, the Company went public and that same year made an early investment in Keurig, Incorporated. The Company acquired the remainder of Keurig in 2006 and the combined company, renamed Keurig Green Mountain, Inc. in 2014, has inspired consumer passion for its products by revolutionizing beverage preparation at home and in the workplace with its KeurigÂ Brewing systems. Through the combination of the disruptive innovation of a leading-edge technology company with the consumer focus of a socially conscious, premium coffee company, Keurig is creating the ultimate beverage experience for consumers and brewing a better world.",http://www.linkedin.com/redirect?url=http%3A%2F%2Fwww%2EKeurigGreenMountain%2Ecom&urlhash=0SIi&trk=Keurig+Green+Mountain%2C+Inc%2E_website
