empId,name,branch,website,industry,type,address1,address2,city,state,zip,country,phone,fax,profile,onlineapp,majors,indirectory,facebook,twitter,linkedin,website-www,,,_pageUrl,,country/_source
922,GOOGLE,1482,http://www.google.com/about,High Tech - Information Technology; Internet,Public,1600 Amphitheatre Pkwy,,Mountain View,CA,94043,USA,3122454441,,From offering search in a single language we now offer dozens of products and services‰ÛÓincluding various forms of advertising and web applications for all kinds of tasks‰ÛÓin scores of languages. And starting from two computer science students in a university dorm room we now have thousands of employees and offices around the world.,,CmpE - Computer Engineering CS - Computer Science EE - Electrical Engineering MSiA - MS in Analytics,TRUE,,,,www.google.com/about,,,https://www.myinterfase.com/mccormick_northwestern/contactregistration.aspx?emp_id,922,United States
632,Fresenius Kabi,1172,http://www.fresenius-kabi.us/,Engineering; Healthcare; Manufacturing; Sciences,Private,Three Corporate Drive,Suite 300,Lake Zurich,IL,60047,USA,(847) 270-2000 OR (847) 550-2968,847.550.2949,Fresenius Kabi is a global health care company that specializes in lifesaving medicines and technologies for infusion transfusion and clinical nutrition. Our products are used to help care for critically and chronically ill patients. The people of Fresenius Kabi are driven by a common purpose to put lifesaving medicines and technologies in the hands of people who care for patients and to find answers to the challenges they face. Fresenius Kabi employs more than 30000 people worldwide and has annual sales of more than $5 billion. We are part of Germany-based health care group Fresenius SE.,,BME - Biomedical Engineering ChE - Chemical Engineering EE - Electrical Engineering ME - Mechanical Engineering,TRUE,,,,http://www.fresenius-kabi.us/,,,https://www.myinterfase.com/mccormick_northwestern/contactregistration.aspx?emp_id,632,United States
960,BEMIS COMPANY,1520,http://www.bemis.com,Engineering; Manufacturing,Public,Three Neenah Center,P.O. Box 669,Neenah,WI,54957,USA,920/527-5339,,About Bemis Company Inc. Bemis Company is a major supplier of flexible packaging and pressure sensitive materials used by leading food consumer products healthcare and other companies worldwide. Founded in 1858 the Company is included in the S&P 500 index of stocks and reported 2010 net sales of $4.8 billion. The Company‰Ûªs flexible packaging business has a strong technical base in polymer chemistry film extrusion coating and laminating printing and converting. Headquartered in Neenah Wisconsin Bemis employs nearly 20000 individuals worldwide. More information about the Company is available at our website www.bemis.com.,,ChE - Chemical Engineering EE - Electrical Engineering ME - Mechanical Engineering MatSE - Materials Science and Engineering,TRUE,,,,www.bemis.com,,,https://www.myinterfase.com/mccormick_northwestern/contactregistration.aspx?emp_id,960,United States
396,ALLSTATE INSURANCE COMPANY,,http://www.allstate.com,Insurance,Private,2775 Sanders Road,,Northbrook,IL,60062,USA,847.402.5159,847.402.9696,The Allstate Corporation is the largest publicly held personal lines property and casualty insurer in America. Allstate was founded in 1931 and became a publicly traded company in 1993. As of year-end 2011 Allstate had $125.6 billion in total assets. In 2011 Allstate was number 93 on the Fortune 500 list of largest companies in America. Allstate celebrates creative problem solving full engagement and working together to keep all people in Good Handså¨. Rooted in empowerment and accountability Allstate employees are challenged to maximize their own focus resourcefulness and diversity.,,AM - Applied Mathematics Econ - Economics IE - Industrial Engineering,TRUE,,,,www.allstate.com,,,https://www.myinterfase.com/mccormick_northwestern/contactregistration.aspx?emp_id,396,United States
1325,U.S.Navy,,http://www.navy.com,Military & Defense,Government,Navy Recruiting District Chicago,2834 B Green Bay Road Bldg 3400,Great Lakes,IL,60088-5709,USA,847-688-7100,847-688-7230,From the high-tech to the high-growth to the awe-inspiring the US Navy offers careers and jobs that fit all backgrounds and interests. There are many distinct professional roles in dozens of exciting fields. And whether you‰Ûªre seeking a position as a nuclear propulsion officer on a submarine or aircraft carrier surface warfare officer navigating our ships pilot navy flight officer construction engineer or manager a Navy Physician or a Navy SEAL you‰Ûªll find unrivaled training and unequalled experience in a career of your dreams. Planning and carrying out important construction projects around the globe. Overseeing key capabilities and personnel on some of the world‰Ûªs most advanced ships. Developing expertise in everything from engines to weapons guidance systems to weather patterns. The thinkers and doers involved in the Engineering and Applied Science communities of America‰Ûªs Navy take on a broad range of professional challenges. Gaining experience on a scale beyond what the private sector typically provides.,,All Majors,TRUE,,,,www.navy.com,,,https://www.myinterfase.com/mccormick_northwestern/contactregistration.aspx?emp_id,1325,United States
1796,Belcan Engineering Group,United States,http://www.belcan.com,Aerospace,Private,10200 Anderson Way,,Cincinnati,OH,45242,USA,513-891-0972,,Belcan Engineering is a global supplier of engineering services to a diverse spectrum of industries; including but not limited to Aerospace Helicopter Energy and Automotive. We are among the largest engineering companies in the U.S. Our discipline-based cadre of engineering services covers product design from conceptual studies to aftermarket support.,,CS - Computer Science EE - Electrical Engineering ME - Mechanical Engineering,TRUE,,,,www.belcan.com,,,https://www.myinterfase.com/mccormick_northwestern/contactregistration.aspx?emp_id,1796,United States
1798,Orbitz Worldwide,,http://www.orbitz.com,Internet; Travel & Tourism,Public,500 W. Madison,Suite 1000,Chicago,IL,60661,USA,312-260-2432,,Orbitz Worldwide is an ecommerce market leader in travel and online technology. We provide customers with the ability to book a wide array of travel products and services from suppliers worldwide including air travel hotels vacation packages car rentals cruises rail tickets travel insurance and destination services such as ground transportation event tickets and tours Global consumer brands includes include Orbitz.com Cheaptickets.com ebookers.com and Hotelclub.com. We serve corporate business customers through Orbitz for Business and offer private label solutions to a broad range of travel partners. In 2013 Orbitz Worldwide had approximately $11B in Gross Bookings $850MM in revenue and $145MM in Adj. EBITDA. Orbitz Worldwide is also a recognized leader in the mobile channel. In the 2013 edition of the Internet Retailer Mobile 400 (released in October 2012) Orbitz.com was the highest ranked travel company positioned #4 overall behind only Amazon Apple and Marriott (vs. #12 in the prior year). In December 2012 the Orbitz App for iPhone was one of 13 apps inducted into Apple's App Store Hall of Fame making it one of only 48 iPhone Apps ever to receive such recognition out of over 900000 in the App Store. We are looking for smart and talented individuals who want to join a fast paced team. We offer excellent opportunities for leadership creativity and personal growth and because of our innovative approach to travel fun work environment and incredible career opportunities in 2014 we were voted by Glassdoor to the top 10 list for the best places to work in America!,,CmpE - Computer Engineering CS - Computer Science,TRUE,,,,www.orbitz.com,,,https://www.myinterfase.com/mccormick_northwestern/contactregistration.aspx?emp_id,1798,United States
1551,3Red,,http://3redgroup.com,Financial Services,Private,440 S LaSalle Suite 2200,,Chicago,IL,60605,USA,3129818826,,3Red is a proprietary trading firm with offices in the Chicago Loop and New York City.,,AM - Applied Mathematics CS - Computer Science EE - Electrical Engineering ME - Mechanical Engineering TAM - Theoretical and Applied Mathematics MIES - McCormick Integrated Engineering Studies,TRUE,https://www.facebook.com/3RedTrading,https://twitter.com/3RedTrading,,3redgroup.com,,,https://www.myinterfase.com/mccormick_northwestern/contactregistration.aspx?emp_id,1551,United States
852,EPIC,1407,http://www.epic.com,Computers; Engineering; High Tech - Information Technology; Other,Private,1979 Milky Way,,Verona,WI,53593,USA,608-271-9000,608.410.5912,As a worldwide leader in the development of software for healthcare organizations Epic is driving change for an entire industry ‰ÛÒ one that affects the quality of life for everyone. Our team works with some of the nation‰Ûªs most respected healthcare organizations and collaborates with the best minds in medicine. The challenges we tackle on a day-to-day basis impact the lives of more than 140 million patients and 220000 providers in the US alone and we‰Ûªre committed to the common goal of improving healthcare. We're searching for smart passionate people who want to achieve great things. If you want to be part of something truly important consider a career at Epic.,,CS - Computer Science,TRUE,,,,www.epic.com,,,https://www.myinterfase.com/mccormick_northwestern/contactregistration.aspx?emp_id,852,United States
1229,Johnson Controls,,http://www.JohnsonControls.com,Automotive; Business Services; Consumer Products; Energy; Engineering; Environment; High Tech - Information Technology; Manufacturing,Public,5757 Green Bay Ave,,Glendale,WI,53209,USA,414.524.6188,,"Johnson Controls is a global diversified technology and industrial leader serving customers in more than 150 countries. Our 162000 employees create quality products services and solutions to optimize energy and operational efficiencies of buildings; lead-acid automotive batteries and advanced batteries for hybrid and electric vehicles; and interior systems for automobiles. Our commitment to sustainability dates back to our roots in 1885 with the invention of the first electric room thermostat. Through our growth strategies and by increasing market share we are committed to delivering value to shareholders and making our customers successful. In 2011 Corporate Responsibility Magazine recognized Johnson Controls as the #1 company in its annual ""100 Best Corporate Citizens"" list. For additional information please visit http://www.johnsoncontrols.com.",,ChE - Chemical Engineering CS - Computer Science Econ - Economics EE - Electrical Engineering EnvE - Environmental Engineering IE - Industrial Engineering MaDE - Manufacturing and Design Engineering ME - Mechanical Engineering MEM - Masters of Engineering Management MPM - Masters of Project Management MatSE - Materials Science and Engineering MSEDI - MS Engineering Design and Innovation MSIT - MS Information Technology MSiA - MS in Analytics,TRUE,,,http://www.linkedin.com/company/johnson-controls?trk=hb_tab_compy_id_2247,www.JohnsonControls.com,,,https://www.myinterfase.com/mccormick_northwestern/contactregistration.aspx?emp_id,1229,United States
311,HYDRA FORCE INC.,767,http://www.hydraforce.com,Engineering,Private,500 Barclay Blvd.,,Lincolnshire,IL,60069-,USA,(847) 229-3169,(847) 229-3269,Since its founding HydraForce continues to be a privately held company as it has grown to several manufacturing locations in North America Europe and Asia with a network of 120 stocking distributors who can offer local support across the globe. To maintain our core competency of speed to market HydraForce has invested in application technical support tools including i-Design our free hydraulic system design software which integrates seamlessly with 3rd party simulation software monthly webinars on new products and application tips and an online product catalog. All HydraForce products carry a five-year limited warranty against defects in material and workmanship.,,EE - Electrical Engineering IE - Industrial Engineering MaDE - Manufacturing and Design Engineering ME - Mechanical Engineering,TRUE,,,,www.hydraforce.com,,,https://www.myinterfase.com/mccormick_northwestern/contactregistration.aspx?emp_id,311,United States
1227,Enova,,http://www.enova.com/,Financial Services,Private,200 W. Jackson Blvd.,,Chicago,IL,60606,USA,312-880-1955,,As a global financial service provider Enova offers a variety of online credit products to people all over the world including: ‰ÐÊUnited States ‰ÐÊUnited Kingdom ‰ÐÊAustralia ‰ÐÊCanada ‰ÐÊMexico Discover what makes us a global leader in online financial services ‰ÛÓ not to mention a fun challenging and unique place to work for over 800 employees in Chicago.,,AM - Applied Mathematics BME - Biomedical Engineering CmpE - Computer Engineering CS - Computer Science IE - Industrial Engineering MaDE - Manufacturing and Design Engineering,TRUE,,,,http://www.enova.com/,,,https://www.myinterfase.com/mccormick_northwestern/contactregistration.aspx?emp_id,1227,United States
786,WOLVERINE TRADING LLC,1339,http://www.wolve.com,Financial Services,Public,175 W. Jackson Blvd.,Suite 200,Chicago,IL,60604,USA,312-884-4000,312-884-4794,Founded in 1994 Wolverine is a diversified financial institution specializing in proprietary trading asset management order execution services and technology solutions. We are recognized as a market leader in derivatives valuation trading and value-added order execution across global equity options and futures markets. With a focus on innovation achievement and integrity we take pride in serving the interests of both our clients and colleagues. Wolverine is headquartered in Chicago with offices in New York and San Francisco and a proprietary trading affiliate office located in London.,,CmpE - Computer Engineering CS - Computer Science,TRUE,,,,www.wolve.com,,,https://www.myinterfase.com/mccormick_northwestern/contactregistration.aspx?emp_id,786,United States
46,Microsoft,University Recruiting,http://www.microsoft.com/university,Computers,Public,One Redmond Way,,Redmond,WA,98052,,(425) 706-5741,,"Founded in 1975 Microsoft (Nasdaq ""MSFT"") is the worldwide leader in software services and solutions that help people and businesses realize their full potential.",,,FALSE,,,,www.microsoft.com/university,,,https://www.myinterfase.com/mccormick_northwestern/contactregistration.aspx?emp_id,46,
6,Goodyear Tire & Rubber Company,,http://www.goodyear.com/careers,Automotive; Manufacturing; Rubbers & Plastics,Public,200 Innovation Way,,Akron,OH,44316,USA,866-713-0051,,Goodyear is one of the world's largest tire companies. A Fortune 500 company we employ approximately 69000 people and manufacture our products in 52 facilities in 22 countries around the world. We have built our foundation on a commitment to forward-thinking innovation and our industry-leading new product engine helps us bring new products to market that feature the latest advances in materials and technologies. At Goodyear we embrace the diversity of our workforce and value the contribution of our associates. We strive to provide associates with a safe work environment the resources they need to do their jobs and ample opportunities for growth. These objectives coupled with competitive compensation and benefits allow us to foster an environment where associates can work to achieve their full potential and contribute to the company's success. For more information go to www.goodyear.com/corporate.,www.goodyear.com/careers,ChE - Chemical Engineering CS - Computer Science EE - Electrical Engineering IE - Industrial Engineering ME - Mechanical Engineering MatSE - Materials Science and Engineering,TRUE,,,,www.goodyear.com/careers,,,https://www.myinterfase.com/mccormick_northwestern/contactregistration.aspx?emp_id,6,United States
7,BAXTER HEALTHCARE,80,http://www.baxter.com,Healthcare,Private,25212 West Illinois Route 120 WG3-2S,,Round Lake,IL,60073,USA,(847) 270-2000 OR (847) 473-6334,847-785-5118,A leader in healthcare for 80 years Baxter assists healthcare professionals and their patients with treatment of complex medical conditions.,,BME - Biomedical Engineering ChE - Chemical Engineering EE - Electrical Engineering IE - Industrial Engineering MaDE - Manufacturing and Design Engineering MatSE - Materials Science and Engineering,TRUE,,,,www.baxter.com,,,https://www.myinterfase.com/mccormick_northwestern/contactregistration.aspx?emp_id,7,United States
717,ITW,,http://www.itw.com,Consumer Products,Private,888 Forest Edge Drive,,Vernon Hills,IL,60061,USA,847.634.1900,847.634.8316,Paslode one of seven companies that make up ITW‰Ûªs North American (NA) Residential Construction Businesses is a leading manufacturer of cordless and pneumatic nailers staplers and fasteners for wood to wood construction. Since the company was formed in 1935 its main focus has been on providing professional trades people with high quality fasteners and fastening tools. This focus has meant many industry firsts and innovative solutions achieving better results faster and easier.,,ME - Mechanical Engineering MatSE - Materials Science and Engineering,TRUE,,,,www.itw.com,,,https://www.myinterfase.com/mccormick_northwestern/contactregistration.aspx?emp_id,717,United States
1026,CME Group,1589,http://www.cmegroup.com/,Financial Services,Public,20 South Wacker Drive,,Chicago,IL,60606,USA,312-930-8538,,CME Group is the world's largest and most diverse derivatives marketplace. Building on the heritage of CME CBOT NYMEX and COMEX CME Group serves the risk management needs of customers around the globe. We provide the widest range of benchmark futures and options products available on any exchange covering all major asset classes. Our collective vision is one of ongoing global growth innovative product development continually enhanced technology and the highest level of service available on any exchange.,,CmpE - Computer Engineering CS - Computer Science Econ - Economics,TRUE,,,,http://www.cmegroup.com/,,,https://www.myinterfase.com/mccormick_northwestern/contactregistration.aspx?emp_id,1026,United States
999,MCDONNELL BOEHNEN HULBERT & BERGHOFF LLP,1561,http://www.mbhb.com,Law,Private,300 S. Wacker Drive,Suite 3100,Chicago,IL,60606,USA,312.913.0001,312.913.0002,"At McDonnell Boehnen Hulbert & Berghoff LLP (""MBHB"") we provide creative pragmatic business solutions through a variety of intellectual property services including litigation prosecution and general client counseling. With offices in Illinois California and North Carolina MBHB provides comprehensive legal services to obtain and enforce our clients' intellectual property rights from navigating patent office procedures to litigating complex infringement actions. We prosecute patent and trademark applications in both the U.S. and abroad handle intellectual property litigation matters in trial and appellate courts across the country and counsel clients nationwide and worldwide on the enforcement and defense of their intellectual property rights. We handle litigation matters before the U.S. Patent and Trademark Office and throughout the federal court system including the U.S. Supreme Court the U.S. Court of Appeals for the Federal Circuit U.S. District Courts and the International Trade Commission. MBHB‰Ûªs practice areas encompass all aspects of intellectual property law. We have practical experience in a myriad of technology areas. Our attorneys are experienced in the procurement licensing enforcement and defense of patents trademarks copyrights trade secrets and unfair competition actions in a number of technological disciplines and product categories including biotechnology business methods chemical electrical mechanical and materials pharmaceuticals and diagnostics software and telecommunications. As we provide effective and service-oriented representation on a case-by-case basis we undertake each challenge with a full understanding of our client's business plan and the ways in which our services help our clients reach their goals. Regardless of our role we never lose sight of our clients' business objectives. Our clients know they have trusted their legal issues and plans for the future with knowledgeable principled professionals who have their best business interests in mind. Our client list includes Fortune 100 companies mid-size companies start-ups and academic institutions.",,CmpE - Computer Engineering CS - Computer Science EE - Electrical Engineering ME - Mechanical Engineering,TRUE,,,,www.mbhb.com,,,https://www.myinterfase.com/mccormick_northwestern/contactregistration.aspx?emp_id,999,United States
1255,HR Green Inc,,http://WWW.HRGREEN.COM,Engineering,Private,820 Davis Street Suite 118,,Evanston,IL,60202,USA,8478660610,,Consulting Engineering firm specializing in Planning design and construction of water and wastewater treatment plants. Additionally HR Green has expertise in Transportation planning and design.,,EE - Electrical Engineering EnvE - Environmental Engineering IE - Industrial Engineering CE - Civil Engineering,TRUE,,,,WWW.HRGREEN.COM,,,https://www.myinterfase.com/mccormick_northwestern/contactregistration.aspx?emp_id,1255,United States
800,HARLEY-DAVIDSON MOTOR COMPANY,1353,http://www.harley-davidson.com,Automotive,Public,11800 W. Capitol Drive,,Wauwatosa,WI,53222,USA,414.343.4056,,"Harley-Davidson Motor Company is an American manufacturer of motorcycles based in Milwaukee Wisconsin. The company sells heavyweight (over 750 cc) motorcycles designed for cruising on the highway. Harley-Davidson motorcycles (popularly known as ""Harleys"") have a distinctive design and exhaust note. They are especially noted for the tradition of heavy customization that gave rise to the chopper-style of motorcycle.",,ME - Mechanical Engineering,TRUE,,,,http://www.harley-davidson.com,,,https://www.myinterfase.com/mccormick_northwestern/contactregistration.aspx?emp_id,800,United States
753,ZEBRA TECHNOLOGIES CORPORATION,1300,http://www.zebra.com,Manufacturing,Public,475 Half Day Road,Suite 500,Lincolnshire,IL,60069,USA,8477936775,(847) 913-8766,"Zebra Technologies Corporation (NASDAQ: ZBRA) provides the broadest range of innovative technology solutions to give a ""digital voice"" to physical assets. Our extensive portfolio includes bar code receipt card kiosk and RFID printers and supplies as well as real-time location solutions. Zebra‰Ûªs enabling technologies extend visibility into company operations for more powerful business intelligence.",,CmpE - Computer Engineering CS - Computer Science EE - Electrical Engineering ME - Mechanical Engineering,TRUE,http://www.facebook.com/pages/Zebra-Technologies/107703715989073,,http://www.linkedin.com/company/167024?trk=tyah,www.zebra.com,,,https://www.myinterfase.com/mccormick_northwestern/contactregistration.aspx?emp_id,753,United States
1826,Quantcast,,http://www.quantcast.com,Internet,Private,201 3rd Street 2nd Floor,,San Francisco,CA,94103,USA,415-590-5870,,Quantcast is a digital advertising company specialized in audience measurement and real-time advertising. As the pioneer of direct audience measurement in 2006 Quantcast has today the most in-depth understanding of digital audiences across the web allowing marketers and publishers to make the smartest choices as they buy and sell the most effective targeted advertising on the market. Quantcast is dedicated to making display as relevant and effective as search and currently delivers outstanding advertising campaigns for the world's leading's advertisers and publishers and brings accurate audience measurement to over 100 million web destinations.,,AM - Applied Mathematics CmpE - Computer Engineering CS - Computer Science EE - Electrical Engineering,TRUE,,,https://www.linkedin.com/company/quantcast/careers?trk=top_nav_careers,www.quantcast.com,,,https://www.myinterfase.com/mccormick_northwestern/contactregistration.aspx?emp_id,1826,United States
